Date,Open,High,Low,Close,Adj Close,Volume,ma1,ma2,ma3,ma5,ma9,ma10,ma20,ma1x2,ma1x3,ma1x5,ma1x9,ma1x10,ma1x20,ma2x3,ma2x5,ma2x9,ma2x10,ma2x20,ma3x5,ma3x9,ma3x10,ma3x20,ma5x9,ma5x10,ma5x20,ma9x10,ma9x20,ma10x20,updown,updowns_percents
1999-03-10,1.8645833730697632,1.8645833730697632,1.78125,1.8072916269302368,1.6626352071762085,5883600.0,1.8072916269302368,1.8229166269302368,1.8090277512868245,1.76875,1.7812499867545233,1.7947916507720947,1.7619791626930237,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,-1,-0.016997167506170197
1999-03-11,1.7760416269302368,1.8072916269302368,1.7291666269302368,1.7291666269302368,1.5907630920410156,1357200.0,1.7291666269302368,1.7682291269302368,1.7916666269302368,1.7822916507720947,1.7702546119689941,1.7760416507720946,1.7726562440395355,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,-1,-0.04322766665648681
1999-03-12,1.7395833730697632,1.7395833730697632,1.6666666269302368,1.6979166269302368,1.5620143413543701,2269200.0,1.6979166269302368,1.7135416269302368,1.7447916269302368,1.7708333015441895,1.7546296119689941,1.7630208134651184,1.7752604067325592,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,-1,-0.018072289571929634
1999-03-15,1.7395833730697632,1.7916666269302368,1.7291666269302368,1.7708333730697632,1.6290949583053589,2720400.0,1.7708333730697632,1.734375,1.7326388756434123,1.768749976158142,1.7488425837622747,1.756249988079071,1.7768229067325592,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.042944833087215084
1999-03-16,1.78125,1.8020833730697632,1.6979166269302368,1.7135416269302368,1.5763888359069824,1978800.0,1.7135416269302368,1.7421875,1.7274305423100789,1.743749976158142,1.750578694873386,1.7453124880790711,1.774999988079071,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,-1,-0.03235298532928055
1999-03-17,1.7291666269302368,1.7604166269302368,1.6822916269302368,1.7239583730697632,1.5859721899032593,1284000.0,1.7239583730697632,1.71875,1.7361111243565877,1.7270833253860474,1.7575231393178303,1.7479166626930236,1.7783854067325593,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.006079073875892682
1999-03-18,1.7291666269302368,1.7708333730697632,1.6875,1.7447916269302368,1.605137586593628,1158000.0,1.7447916269302368,1.734375,1.7274305423100789,1.7302083253860474,1.7563657230801053,1.756249988079071,1.7815104067325591,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.01208454576741147
1999-03-19,1.7395833730697632,1.8020833730697632,1.7395833730697632,1.75,1.6099289655685425,2632800.0,1.75,1.7473958134651184,1.7395833333333333,1.740625,1.752893500857883,1.7557291507720947,1.782031238079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.002985097469161202
1999-03-22,1.7864583730697632,1.7916666269302368,1.6979166269302368,1.6979166269302368,1.5620143413543701,916800.0,1.6979166269302368,1.7239583134651184,1.7309027512868245,1.7260416507720948,1.737268500857883,1.7473958134651184,1.779427069425583,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-0.02976192746843609
1999-03-23,1.7083333730697632,1.7083333730697632,1.5625,1.59375,1.4661850929260254,4099200.0,1.59375,1.6458333134651184,1.6805555423100789,1.7020833253860475,1.71354165342119,1.7229166507720948,1.7674479007720947,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-0.061349671284252505
